trajectory_index,source_cell_index,source_time,source_cell_type,predicted_label,max_prob,time_used,primary_domain,secondary_domain,prob__EryP,prob__HSC,prob__MasP,prob__MkP,prob__MoP,prob__NeuP,target_group,target_genes,z_score,time_requested,cell_type_requested,cell_type_used,label_rule,selection_source
3513,3513,0.0,MkP,MkP,0.999991933746244,3.0,1,2,9.326177580980322e-07,7.040778017401723e-06,1.035335196476415e-11,0.999991933746244,9.209724791069916e-08,7.503791817844757e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4011,4011,0.0,EryP,MkP,0.9999918970488004,3.0,1,2,1.414904072412825e-06,6.682367908710649e-06,4.714988846890772e-11,0.9999918970488004,7.109062723832171e-10,4.921162283281527e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
7720,7720,0.0,EryP,MkP,0.9999913013857222,3.0,1,2,3.565795250233709e-06,5.124993799576634e-06,2.4871912307620698e-12,0.9999913013857222,7.665537096429108e-09,1.5720368024494962e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
5935,5935,0.0,EryP,MkP,0.9999912728669696,3.0,1,2,3.850177055014574e-06,4.655591427354308e-06,4.997030272948542e-12,0.9999912728669696,2.2016375271252426e-07,1.1957984243209154e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4420,4420,0.0,MkP,MkP,0.9999911458651918,3.0,1,2,9.54721588935716e-07,7.897204646569861e-06,2.0457578493680144e-11,0.9999911458651918,2.131088340645653e-09,5.702677398782082e-11,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6882,6882,0.0,EryP,MkP,0.9999903938788032,3.0,1,2,8.56382479948476e-06,1.0401082357273566e-06,3.34371194239236e-11,0.9999903938788032,1.4787952123475027e-09,6.759293628726657e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
1896,1896,0.0,EryP,MkP,0.9999899266158148,3.0,1,2,5.410085154472505e-06,4.651934257385481e-06,1.7166791874854964e-10,0.9999899266158148,6.919711156323955e-09,4.2733943030549e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4290,4290,0.0,EryP,MkP,0.99998991725746,3.0,1,2,6.253715124100038e-06,3.762886927977558e-06,6.12433256936497e-11,0.99998991725746,6.4021796423088e-08,2.057448106547317e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
762,762,0.0,EryP,MkP,0.9999897269544964,3.0,1,2,5.1092285150212575e-06,5.1212633527202444e-06,8.883100897187023e-13,0.9999897269544964,4.105712413262294e-08,1.49562324148899e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6002,6002,0.0,MkP,MkP,0.999989535915316,3.0,1,2,2.023351670999962e-06,8.095733526551079e-06,7.353817746999963e-11,0.999989535915316,3.369856433406793e-07,7.940305061119184e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
7273,7273,0.0,EryP,MkP,0.9999891017450556,3.0,1,2,2.0290393310963373e-06,8.866252175667608e-06,2.3662868114944133e-11,0.9999891017450556,1.7475876027369572e-10,2.7650157350709367e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
654,654,0.0,EryP,MkP,0.9999889795172512,3.0,1,2,2.337814326368833e-06,8.682137972649882e-06,3.264932083918372e-12,0.9999889795172512,5.59227774489162e-11,4.712619519655983e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3247,3247,0.0,EryP,MkP,0.9999887062829158,3.0,1,2,7.113192212279273e-06,4.057845512308308e-06,4.797396520825126e-12,0.9999887062829158,1.19357698473503e-07,3.3168637126676007e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
1044,1044,0.0,EryP,MkP,0.9999884550107634,3.0,1,2,9.71742137959661e-06,1.8238285193558333e-06,7.272863605094027e-11,0.9999884550107634,1.93265438206294e-09,1.7339545133856875e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
8227,8227,0.0,EryP,MkP,0.9999883908524038,3.0,1,2,1.0371833873933468e-05,1.234454081849489e-06,2.71795844863612e-10,0.9999883908524038,2.1721677517903262e-09,4.1567693612893445e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
2765,2765,0.0,EryP,MkP,0.9999876238383238,3.0,1,2,7.3779187577105856e-06,4.959334590716772e-06,1.931756297242985e-10,0.9999876238383238,3.531473865228317e-08,3.4004132830904162e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6346,6346,0.0,EryP,MkP,0.999987381939229,3.0,1,2,1.221680169818939e-05,4.0085397404732665e-07,3.093902089499003e-12,0.999987381939229,5.529442285778413e-11,3.4671039355516806e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
